id,title,description,image,method_of_making,animation,perceptual_realism,tags,link
ex-071,Metamorphose – Overgrowing Hate,,media/ex-071.png,,,,,https://www.behance.net/gallery/138626999/metamorphose-overgrowing-hate?tracking_source=search_projects|data+sculpture&l=81
ex-072,Tallest Rocket Ever Built,,media/ex-072.png,,,,,https://www.instagram.com/p/DRj52LlDVFX/
ex-073,Drowning in Plastic,,media/ex-073.png,,,,,https://www.reuters.com/graphics/ENVIRONMENT-PLASTIC/0100B275155/
ex-074,How Many Planets Fit Inside the Sun,,media/ex-074.png,,,,,https://www.instagram.com/p/DGimqdiNrD2/
ex-075,Animal Heartbeats,,media/ex-075.png,,,,,https://www.youtube.com/watch?v=bjHDI3LkI5A
ex-076,Surreal Speed Comparison,,media/ex-076.png,,,,,https://www.youtube.com/watch?v=Y-y3lYFAPQk
ex-077,Asteroids Size Comparison,,media/ex-077.png,,,,,https://www.youtube.com/watch?v=p7HFxlm62As
ex-078,Births and Deaths Rate,,media/ex-078.png,,,,,https://www.youtube.com/watch?v=bIAF7kBbGKk
ex-079,Elephant Rocket Fuel,,media/ex-079.png,,,,,https://www.youtube.com/watch?v=X4iMeKif488
ex-080,Human Visits to Space,,media/ex-080.png,,,,,https://www.instagram.com/p/DJB4PMriKLa/
ex-081,New York City's Greenhouse Gas Emissions,,media/ex-081.png,,,,,https://www.youtube.com/watch?v=DtqSIplGXOA
ex-082,Number of deaths in the WW2,,media/ex-082.png,,,,,https://www.youtube.com/watch?v=7cgRwDkP6vk
ex-083,Garbage Dumps in the Ocean Total,,media/ex-083.png,,,,,https://scicom-lab.com/project/explore-the-ocean
ex-084,Visualizing the World’s Largest Cloud Service Providers,,media/ex-084.png,,,,,https://www.voronoiapp.com/technology/Visualizing-the-Worlds-Largest-Cloud-Service-Providers-6444
ex-085,Europe's $2 Trillion Infrastructure Investment Deficit,,media/ex-085.png,,,,,https://www.voronoiapp.com/economy/Charted-Europes-2-Trillion-Infrastructure-Investment-Deficit-5965
ex-086,Number of Satellites,,media/ex-086.png,,,,,https://www.instagram.com/p/DKhMXuTKNk7/
ex-087,Planet Light Orbit,,media/ex-087.png,,,,,https://www.instagram.com/p/DIy-jtaIEGX/
ex-088,How Many Moons,,media/ex-088.png,,,,,https://www.instagram.com/p/DIlsIMCoaQo/
ex-089,Technology Garden - Matches,,media/ex-089.png,,,,,https://variable.io/ibm-technology-garden/
ex-090,Technology Garden - Weather,,media/ex-090.png,,,,,https://variable.io/ibm-technology-garden/
ex-091,Softness Simulation,,media/ex-091.png,,,,,https://www.youtube.com/shorts/ihwqYwqOAKM
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
